dish_id,name_vi,name_en,region,origin,roles,serving_g,verified_by,note
FNDDS-2705492,,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",,foreign,,196,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705492"
FNDDS-2705493,,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",,foreign,,300,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705493"
FNDDS-2705496,,"Strawberry milk, whole",,foreign,,264,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705496"
FNDDS-2705497,,"Strawberry milk, reduced fat (2%)",,foreign,,260,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705497"
FNDDS-2705498,,"Strawberry milk, low fat (1%)",,foreign,,264,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705498"
FNDDS-2705499,,"Strawberry milk, fat free  (skim)",,foreign,,264,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705499"
FNDDS-2705502,,Eggnog,,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705502"
FNDDS-2705503,,"Milk shake, home recipe, chocolate",,foreign,,784,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705503"
FNDDS-2705504,,"Milk shake, home recipe, flavors other than chocolate",,foreign,,758,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705504"
FNDDS-2705505,,"Milk shake, home recipe, chocolate, light",,foreign,,784,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705505"
FNDDS-2705506,,"Milk shake, home recipe, flavors other than chocolate, light",,foreign,,758,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705506"
FNDDS-2705507,,Milk shake with malt,,foreign,,787.6,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705507"
FNDDS-2705509,,"Milk shake, fast food, flavors other than chocolate",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705509"
FNDDS-2705511,,"Milk shake, bottled, flavors other than chocolate",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705511"
FNDDS-2705516,,"Fruit smoothie juice drink, with dairy",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705516"
FNDDS-2705517,,Chocolate milk drink,,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705517"
FNDDS-2705520,,"Infant formula, Similac Alimentum, ready-to-feed",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705520"
FNDDS-2705521,,"Infant formula, Similac Alimentum, powder, made with water",,foreign,,100,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705521"
FNDDS-2705522,,"Infant formula, Similac Advance, ready-to-feed",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705522"
FNDDS-2705523,,"Infant formula, Similac Advance, powder, made with tap water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705523"
FNDDS-2705524,,"Infant formula, Similac Advance, powder, made with bottled water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705524"
FNDDS-2705525,,"Infant formula, Similac Advance, powder, made with baby water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705525"
FNDDS-2705526,,"Infant formula, Similac Sensitive, ready-to-feed",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705526"
FNDDS-2705527,,"Infant formula, Similac Sensitive, powder, made with tap water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705527"
FNDDS-2705528,,"Infant formula, Similac Sensitive, powder, made with bottled water",,foreign,,67.7,USDA FNDDS (nguồn chính thức),"USDA FoodData Central (FNDDS/WWEIA Survey Foods), fdcId:2705528"
