food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
"Sardine, raw",210.7,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Scallops, raw",76.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sea cucumber, raw",7.72,4,"Japan, China","2014, 2017",nonNAm,"b,c",
"Sea urchin, raw",137.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Seabass, Japanese, liver, raw",217.69,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Seabass, Japanese, skin, raw",1399.71,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Seabass, mixed species, raw",107.3,10,"Japan, China","2014, 2017",nonNAm,"b,c",
"Shad, dotted gizzard",186.8,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Shishamo with roe, half-dried",149.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Shrimp, deep-water",221.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Shrimp, raw (sand shrimp and Pacific shrimp species)",177.28,6,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Shrimp, raw (unspecified)",166.5,4,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Shrimp, Sakura, dried",748.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Smelt, raw",94.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Snails, raw",182.2,6,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Squid organs, raw",59.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Squid, raw (unspecified)",150.8,3,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Squid, shredded, dried",94.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Swordfish (Xiphias), fresh",132.2,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Tilefish, raw",119.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Trout, rainbow, raw",181.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tuna (Bonito), raw",211.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tuna, canned",117.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tuna, raw (unspecified)",157.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Turbot liver, raw",264.33,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Turbot skin, raw",142.1,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Turbot, European, raw",112.21,3,China,2017,nonNAm,c,"Qu, X., et al. (2017). Determination of four different purines and their content change in seafood by high‐performance liquid chromatography. Journal of the Science of Food and Agriculture, 97(2), 520-5. [China, 2017]"
"Weather loach, raw",136.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Whitebait, dried",471.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Whiting (Sillaginidae), raw",144.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Yellowtail (amberjack), raw",120.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Yellowtail, young, fresh",152.5,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Avocado, raw",18.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Bananas, raw",3.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Goji berry,5.52,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Strawberries, raw",2.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Mutton, raw",94.9,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Whale, raw",99.45,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Bean curd lees (Okara),48.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Beans, adzuki, dried, raw",77.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Broad beans, dried, raw",35.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chickpeas (garbanzo beans), no further specified",26.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Miso,56.13,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Peanuts, raw",49.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Peas, green",21.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Peas, red, dried",25.4,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Soy milk,21.91,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soy protein concentrate, produced by acid wash",192.41,1,Czech Republic,2010,nonNAm,f,"Havlik, J.,et al. (2010). Dietary purines in vegetarian meat analogues. Journal of the Science of Food and Agriculture, 90(14), 2352-7. [Czech Republic, Vietnam, Great Britain, 2010]"
Soy sauce made from soy and wheat (shoyu),50.25,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soybean, black, dried",67.2,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Soybean, fermented (Natto)",113.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soybeans, dried, raw",172.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Tofu (Kinu),20.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tofu, boiled 3 minutes",21.92,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tofu, boiled 5 minutes",35.78,1,Japan,2008,nonNAm,d,"Kaneko, K., et al. (2008). Purine contents of soybean-derived foods and selected Japanese vegetables and mushrooms. Nucleosides, Nucleotides, and Nucleic Acids, 27(6-7), 628-30. [Japan, 2008]"
"Tofu, deep-fried",54.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tofu, dried-frozen (koyadofu)",292.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Tofu, raw (nigari)",31.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Almonds,31.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Chia seeds,58.64,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Walnuts,19.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Pate, liver",80.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork heart, raw",119.2,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork kidney, raw",195.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork liver, raw",285.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork tongue, raw",104.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork neck, raw",70.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork ribs, raw",75.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork rump, raw",113.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork shoulder, raw",93.7,4,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork sirloin, raw",90.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork tenderloin, raw",119.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chicken gizzard, raw",142.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chicken heart, raw",224.0,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chicken liver, raw",302.6,2,"Japan, Czech Republic","2014, 2017",nonNAm,"b,f",
Foie gras,81.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Chicken breast, raw",141.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chicken leg, raw",118.2,2,"Japan, Czech Republic","2014, 2017",nonNAm,"b,f",
"Chicken skin, raw",119.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chicken wing, raw",137.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Chicken, light meat, raw",111.35,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Corned beef,46.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Frankfurter,49.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Ham, pressed and boneless types",69.4,2,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Pork, bacon, unprepared",61.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Prosciutto (Parma ham),138.3,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Salami,120.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sausage, Vienna type",45.5,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Cayenne pepper powder,19.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Curry roux,16.0,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Ketchup,10.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Mayonnaise,0.6,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Mirin (cooking wine),1.2,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Mustard,25.3,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Rice malt, salted",13.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
Sake lees,89.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Sauce, barbecue",14.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sauce, chili bean, Chinese",8.8,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Sauce, fish",93.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Sauce, oyster",134.4,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, Chinese soup type, powdered",185.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, clam chowder type, powdered",47.1,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, consommé type, powdered",179.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, matsutake type, powdered",233.9,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, potage type, powdered",37.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, ramen noodle, dry",32.6,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
"Soup, stock, Chinese, dried",508.9,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Umami broth, powdered",684.8,1,Japan,2014,nonNAm,b,"Kaneko, K., et al. (2014). Total purine and purine base content of common foodstuffs for facilitating nutritional therapy for gout and hyperuricemia. Biological and Pharmaceutical Bulletin, 37(5), 709-21. [Japan, 2014]"
Wasabi,0.7,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
"Yeast, dried",847.1,1,Japan,2020,nonNAm,n,"Kaneko, K., et al. (2020). Determination of total purine and purine base content of 80 food products to aid nutritional therapy for gout and hyperuricemia. Nucleosides, Nucleotides, and Nucleic Acids, 39(10-12), 1449-57. [Japan, 2020]"
