food_description_en,total_purine_mg_100g,n_samples,country_of_origin,year,source_group,source_code,source_citation
"Lamb heart, raw",171.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Lamb liver, raw",147.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Lamb chops and roast, raw",127.5,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Veal cutlet, cooked",142.7,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Beans, adzuki, dried, raw",162.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beans, black, canned5",24.1,6,USA,2024,NAm,USDA,
"Beans, cranberry, dried, raw",75.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beans, great northern, dried, raw",213.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beans, kidney, dark red, canned5",23.4,6,USA,2024,NAm,USDA,
"Beans, navy, canned5",21.19,6,USA,2024,NAm,USDA,
"Beans, pinto, canned5",25.2,6,USA,2024,NAm,USDA,
"Beans, pinto, dried, raw",171.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Beans, small white, dried, raw",202.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Blackeye peas, canned5",34.8,6,USA,2024,NAm,USDA,
"Blackeye peas, dried, raw",230.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Chickpeas (garbanzo beans), canned5",21.6,6,USA,2024,NAm,USDA,
"Chickpeas (garbanzo beans), cooked",11.2,3,USA,2024,NAm,USDA,
"Chickpeas (garbanzo beans), dried, raw",56.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Lentils, dried, raw",222.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Lima beans, baby, dried, raw",144.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Lima beans, large, dried, raw",149.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Peas, green, sweet, canned5",72.4,6,USA,2024,NAm,USDA,
"Peas, split, dried, raw",195.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Pork, liver, raw",289.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Pork, cured, bacon, unprepared",140.7,6,USA,2024,NAm,USDA,
"Pork, cured, bacon, cooked4",428.8,6,USA,2024,NAm,USDA,
"Pork, ground, raw",183.1,5,USA,2024,NAm,USDA,
"Pork loin, boneless, skinless, raw",237.2,6,USA,2024,NAm,USDA,
"Pork loin, boneless, skinless, cooked4",333.5,6,USA,2024,NAm,USDA,
"Pork loin, tenderloin, boneless, raw",244.0,6,USA,2024,NAm,USDA,
"Pork roast and chops, cooked",119.8,1,Canada,1988,NAm,a,"Brulé, D., et al. (1988). Purine content of selected Canadian food products. Journal of Food Composition and Analysis, 1(2),130-8. [Canada, 1988]"
"Pork sausage, uncured, link/patty, raw",160.1,6,USA,2024,NAm,USDA,
"Pork sausage, uncured, link/patty, cooked4",213.2,6,USA,2024,NAm,USDA,
"Chicken gizzard, raw",130.5,12,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
"Chicken heart, raw",125.4,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Chicken liver, raw",243.0,1,USA,1976,NAm,e,"Clifford, A.J., & Story, D.L. (1976). Levels of purines in foods and their metabolic effects in rats. The Journal of Nutrition, 106(3), 435-42. [USA, 1976]"
"Chicken liver, raw",236.1,12,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
"Chicken breast, boneless, skinless, raw",289.0,6,USA,2024,NAm,USDA,
"Chicken breast, boneless, skinless, cooked4",368.6,6,USA,2024,NAm,USDA,
"Chicken breast, raw",174.9,36,USA,"1983, 1982",NAm,"h, j",
"Chicken breast, raw",130.7,25,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
"Chicken breast, roasted",178.5,12,USA,1982,NAm,j,"Young, L.L. Purine content of raw and roasted chicken broiler meat. (1982). Journal of Food Science, 47(4), 1374-5. [USA, 1982]"
"Chicken breast, stewed",183.5,24,USA,1983,NAm,h,"Young, L.L. Effect of stewing on purine content of broiler tissues. (1983). Journal of Food Science, 48(1), 315-6. [USA, 1983]"
"Chicken drumstick, raw",132.7,25,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
"Chicken neck, raw",122.9,10,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
"Chicken skin (from drumsticks and thighs), braised",93.8,24,USA,1983,NAm,h,"Young, L.L. Effect of stewing on purine content of broiler tissues. (1983). Journal of Food Science, 48(1), 315-6. [USA, 1983]"
"Chicken skin, raw",58.94,24,USA,1983,NAm,h,"Young, L.L. Effect of stewing on purine content of broiler tissues. (1983). Journal of Food Science, 48(1), 315-6. [USA, 1983]"
"Chicken skin, raw",106.3,25,USA,1980,NAm,i,"Young, L.L. Evaluation of four purine compounds in poultry products. (1980). Journal of Food Science, 45(4), 1064-5. [USA, 1980]"
